58,5,1,3,0,2143,1,0,0,5,4,261,1,-1,0,0,0
44,10,2,2,0,29,1,0,0,5,4,151,1,-1,0,0,0
33,3,1,2,0,2,1,1,0,5,4,76,1,-1,0,0,0
47,2,1,0,0,1506,1,0,0,5,4,92,1,-1,0,0,0
33,0,2,0,0,1,0,0,0,5,4,198,1,-1,0,0,0
35,5,1,3,0,231,1,0,0,5,4,139,1,-1,0,0,0
28,5,2,3,0,447,1,1,0,5,4,217,1,-1,0,0,0
42,3,0,3,1,2,1,0,0,5,4,380,1,-1,0,0,0
58,6,1,1,0,121,1,0,0,5,4,50,1,-1,0,0,0
43,10,2,2,0,593,1,0,0,5,4,55,1,-1,0,0,0
41,1,0,2,0,270,1,0,0,5,4,222,1,-1,0,0,0
29,1,2,2,0,390,1,0,0,5,4,137,1,-1,0,0,0
53,10,1,2,0,6,1,0,0,5,4,517,1,-1,0,0,0
58,10,1,0,0,71,1,0,0,5,4,71,1,-1,0,0,0
57,8,1,2,0,162,1,0,0,5,4,174,1,-1,0,0,0
51,6,1,1,0,229,1,0,0,5,4,353,1,-1,0,0,0
45,1,2,0,0,13,1,0,0,5,4,98,1,-1,0,0,0
57,2,1,1,0,52,1,0,0,5,4,38,1,-1,0,0,0
60,6,1,1,0,60,1,0,0,5,4,219,1,-1,0,0,0
33,8,1,2,0,0,1,0,0,5,4,54,1,-1,0,0,0
28,2,1,2,0,723,1,1,0,5,4,262,1,-1,0,0,0
56,5,1,3,0,779,1,0,0,5,4,164,1,-1,0,0,0
32,2,2,1,0,23,1,1,0,5,4,160,1,-1,0,0,0
25,8,1,2,0,50,1,0,0,5,4,342,1,-1,0,0,0
40,6,1,1,0,0,1,1,0,5,4,181,1,-1,0,0,0
44,1,1,2,0,-372,1,0,0,5,4,172,1,-1,0,0,0
39,5,2,3,0,255,1,0,0,5,4,296,1,-1,0,0,0
52,3,1,2,0,113,1,1,0,5,4,127,1,-1,0,0,0
46,5,2,2,0,-246,1,0,0,5,4,255,2,-1,0,0,0
36,10,2,2,0,265,1,1,0,5,4,348,1,-1,0,0,0
57,10,1,2,0,839,0,1,0,5,4,225,1,-1,0,0,0
49,5,1,3,0,378,1,0,0,5,4,230,1,-1,0,0,0
60,1,1,2,0,39,1,1,0,5,4,208,1,-1,0,0,0
59,2,1,2,0,0,1,0,0,5,4,226,1,-1,0,0,0
51,5,1,3,0,10635,1,0,0,5,4,336,1,-1,0,0,0
57,10,0,2,0,63,1,0,0,5,4,242,1,-1,0,0,0
25,2,1,2,0,-7,1,0,0,5,4,365,1,-1,0,0,0
53,10,1,2,0,-3,0,0,0,5,4,1666,1,-1,0,0,0
36,1,0,2,0,506,1,0,0,5,4,577,1,-1,0,0,0
37,1,2,2,0,0,1,0,0,5,4,137,1,-1,0,0,0
44,8,0,2,0,2586,1,0,0,5,4,160,1,-1,0,0,0
50,5,1,2,0,49,1,0,0,5,4,180,2,-1,0,0,0
60,2,1,0,0,104,1,0,0,5,4,22,1,-1,0,0,0
54,6,1,2,0,529,1,0,0,5,4,1492,1,-1,0,0,0
58,6,1,0,0,96,1,0,0,5,4,616,1,-1,0,0,0
36,1,2,1,0,-171,1,0,0,5,4,242,1,-1,0,0,0
58,7,1,3,0,-364,1,0,0,5,4,355,1,-1,0,0,0
44,10,1,2,0,0,1,0,0,5,4,225,2,-1,0,0,0
55,10,0,2,0,0,0,0,0,5,4,160,1,-1,0,0,0
29,5,2,3,0,0,1,0,0,5,4,363,1,-1,0,0,0
54,2,1,2,0,1291,1,0,0,5,4,266,1,-1,0,0,0
48,5,0,3,0,-244,1,0,0,5,4,253,1,-1,0,0,0
